customer_id,frequency,monetary,avg_order_value,first_order,last_order,recency,avg_rating,review_count,cluster
1,2,1096.7,548.35,2024-03-01,2024-05-02,-122,4.0,2.0,2
2,1,4378.05,4378.05,2024-05-22,2024-05-22,-142,1.0,2.0,3
3,1,3177.2,3177.2,2024-07-10,2024-07-10,-191,1.0,2.0,3
4,1,670.56,670.56,2024-06-02,2024-06-02,-153,1.0,2.0,3
5,2,9667.220000000001,4833.610000000001,2023-12-06,2024-07-24,-205,1.0,2.0,1
6,2,2558.37,1279.185,2024-03-22,2024-06-24,-175,1.0,2.0,1
7,2,4015.0,2007.5,2024-01-31,2024-06-06,-157,3.0,2.0,2
8,1,1650.96,1650.96,2024-04-19,2024-04-19,-109,2.0,2.0,2
9,1,1014.8,1014.8,2024-07-30,2024-07-30,-211,2.0,2.0,2
10,1,200.54,200.54,2024-02-23,2024-02-23,-53,2.0,2.0,2
11,1,702.75,702.75,2024-02-25,2024-02-25,-55,4.0,2.0,2
12,2,7197.81,3598.905,2024-08-19,2024-09-27,-270,4.0,2.0,2
13,1,1275.84,1275.84,2024-08-22,2024-08-22,-234,5.0,2.0,2
14,2,14851.970000000001,7425.985000000001,2023-12-03,2024-01-28,-27,2.0,2.0,2
15,1,463.78,463.78,2024-10-28,2024-10-28,-301,3.0,2.0,2
16,2,12224.119999999999,6112.0599999999995,2024-01-04,2024-10-23,-296,4.0,2.0,2
17,1,649.72,649.72,2024-10-30,2024-10-30,-303,5.0,2.0,2
18,1,3430.04,3430.04,2024-07-22,2024-07-22,-203,2.0,2.0,2
19,1,716.13,716.13,2024-06-09,2024-06-09,-160,5.0,2.0,2
20,1,408.6,408.6,2024-01-02,2024-01-02,-1,3.0,2.0,2
21,2,2377.55,1188.775,2024-08-18,2024-08-25,-237,2.0,2.0,2
22,2,3889.2799999999997,1944.6399999999999,2024-06-27,2024-08-27,-239,3.0,2.0,2
23,1,685.2,685.2,2024-05-23,2024-05-23,-143,1.0,2.0,3
24,2,6426.3,3213.15,2023-12-06,2024-09-15,-258,5.0,2.0,2
25,2,2490.21,1245.105,2024-09-18,2024-10-07,-280,1.0,2.0,1
26,1,2070.8,2070.8,2024-06-03,2024-06-03,-154,1.0,2.0,3
27,1,663.22,663.22,2024-08-18,2024-08-18,-230,5.0,2.0,2
28,1,990.84,990.84,2024-10-20,2024-10-20,-293,1.0,2.0,3
29,2,7278.96,3639.48,2024-06-09,2024-09-17,-260,1.0,2.0,1
30,1,2383.6,2383.6,2024-07-15,2024-07-15,-196,3.0,2.0,2
31,2,2895.73,1447.865,2024-05-27,2024-07-03,-184,2.0,2.0,2
32,2,12656.6,6328.3,2023-11-19,2024-01-17,-16,5.0,2.0,2
33,1,5882.8,5882.8,2024-05-17,2024-05-17,-137,4.0,2.0,2
34,2,3118.9700000000003,1559.4850000000001,2024-01-02,2024-06-06,-157,4.0,2.0,2
35,1,4158.66,4158.66,2024-05-29,2024-05-29,-149,4.0,2.0,2
36,2,13917.8,6958.9,2024-01-03,2024-08-20,-232,2.0,2.0,1
37,1,2000.15,2000.15,2024-06-28,2024-06-28,-179,5.0,2.0,2
38,1,1793.44,1793.44,2024-04-24,2024-04-24,-114,4.0,2.0,2
39,1,223.16,223.16,2023-12-21,2023-12-21,11,1.0,2.0,0
40,1,1265.22,1265.22,2024-03-11,2024-03-11,-70,2.0,2.0,2
41,2,6270.030000000001,3135.0150000000003,2023-12-24,2024-01-31,-30,3.0,2.0,2
42,1,1509.24,1509.24,2024-02-24,2024-02-24,-54,5.0,2.0,2
43,2,5736.53,2868.265,2024-03-23,2024-08-27,-239,3.0,2.0,2
